Television,Mobile only,Computer/Laptop (With Internet),Without Internet,Good,Livable,Dilapidated,Class
66.9,54.9,3.5,7.7,64,31.6,4.4,YES
41.3,50.5,0.7,3.9,49.7,45.3,5,NO
36.8,48.2,0.4,3.5,47.6,47,5.3,NO
65.9,63.2,2.7,6.1,61,35.6,3.4,YES
42.1,48.7,0.7,3.7,50,44.6,5.4,NO
34.8,44.8,0.3,2.9,46.1,48.2,5.7,NO
73.3,65.6,2.8,7.3,66.5,29.2,4.3,YES
49.9,49.8,1.3,4.6,53.1,42.4,4.5,YES
39.2,44.6,0.5,3.4,45.5,49.1,5.4,NO
76.9,62.8,3.2,7.7,72.2,25.5,2.3,YES
45.8,61.3,1.1,3.8,57,37.5,5.5,YES
38.2,59.4,0.5,3.1,56.1,37.3,6.6,NO
71.3,67.7,3.2,6.1,60.1,38.1,1.8,NO
34.6,58.1,0.5,2.5,54.2,39.9,5.9,NO
32.3,57.1,0.4,2.5,52.3,41.4,6.3,NO
58.4,68.6,1.8,3.4,73.7,24.6,1.8,NO
33.2,52.2,0.5,2.8,44.9,48,7.1,NO
29.3,50.2,0.3,2.8,42.7,49.4,8,NO
57.3,65.1,2,3,58.7,39.7,1.6,NO
45.2,42,1.6,4.6,51.6,42.5,5.9,YES
32.6,34.3,0.5,3,45.4,47.5,7.1,NO
66.9,55.3,3.4,7.4,62.5,33.8,3.7,YES
33.3,33.4,0.5,2.1,40.7,53.2,6.2,NO
29.5,30.7,0.4,2.1,38.3,55.1,6.6,NO
61.2,53.1,1.3,2.3,58.3,39,2.7,YES
39.9,38.1,0.8,3.7,47.1,45.9,7,YES
33.8,33,0.3,3,43.4,48.9,7.7,NO
52.2,48.5,1.8,5.2,54.8,39.8,5.5,YES
32.2,37.5,0.8,3.7,49.8,43.5,6.6,YES
31.2,35,0.9,3.4,49.2,43.1,7.7,YES
36.5,48,0.6,4.6,52.7,45.3,2,NO
62.3,51.5,3.1,7.1,60.4,35.1,4.5,YES
40.7,40.1,0.7,4,50.5,43.3,6.2,NO
73.4,57.4,4.3,8.7,65.5,30.8,3.6,YES
40.2,39.3,0.7,3,51.5,41.8,6.7,NO
34.4,34.8,0.6,2.9,49.3,43.2,7.4,NO
62.5,57.1,1.3,3.2,60,36.1,3.9,YES
27.1,33.4,0.4,2.3,42.7,50.3,7,NO
25,31.3,0.4,2.2,42,50.5,7.6,NO
41.5,48,0.9,3.5,47.8,48.9,3.3,YES
27.6,31.3,0.3,2.7,41.8,50.9,7.2,NO
27.6,31.3,0.3,2.7,41.8,50.9,7.2,NO
37.6,43.1,0.7,3.4,49.4,44.6,6,NO
