Television,Mobile only,Computer/Laptop (With Internet),Without Internet,Good,Livable,Dilapidated,Class
27.9,53.1,0.4,3.2,43.9,46.7,9.4,NO
20.4,50,0.2,2.9,39.8,49.4,10.9,NO
53.1,63.7,0.8,3.9,57.9,37.7,4.4,YES
21.8,49.5,0.4,3.7,42.2,48,9.8,NO
16.7,46.5,0.3,3.7,40,49.5,10.5,NO
54.7,68.6,1.2,3.7,56.5,38.1,5.4,YES
38.5,60,0.7,5.6,48.2,44.7,7.1,NO
28.9,56.6,0.2,4.9,42.8,48.4,8.8,NO
56.9,66.5,1.5,7.1,58.4,37.6,4,YES
20.5,50.6,0.5,4.8,40.7,52.1,7.2,NO
16.2,48.4,0.4,5.1,40.6,51.8,7.6,NO
42.6,61.7,1.1,3.4,41.3,53.8,4.9,YES
17.7,47.2,0.4,4.9,42.3,48.8,8.9,NO
17.7,47.2,0.4,4.9,42.3,48.8,8.9,NO
21.7,51.2,0.5,4.5,41.2,51.4,7.4,NO
18.1,49.6,0.4,4.4,39.7,52.3,8.1,NO
56.6,67.2,1.4,5.1,55.9,42.9,1.1,NO
18.3,47.4,0.5,5,40.4,52,7.6,NO
15.2,45.6,0.5,5.3,39.3,52.8,7.9,NO
50.8,66.4,0.8,1.9,52.2,43.4,4.4,YES
19.1,49.1,0.5,5.6,42.5,49.9,7.6,NO
15.8,47.4,0.4,5.2,41.1,51,7.9,NO
52.9,66.5,1.8,9.6,57.2,38.6,4.3,YES
29.8,53.2,0.7,5.5,47,45.7,7.3,NO
20.3,48.8,0.4,5.5,43,48.9,8.1,NO
62.5,68.6,1.9,5.5,60.6,34.8,4.6,YES
32.4,54.7,0.5,3.7,48.8,45.6,5.6,NO
27.6,53.2,0.3,3.2,47.3,46.7,6,NO
62.1,64,2.1,6.7,58.1,38.7,3.1,YES
27.9,53.4,0.3,4,48.5,44.4,7.1,NO
27.9,53.4,0.3,4,48.5,44.4,7.1,NO
41,55.9,1.1,4.3,54.6,39.7,5.7,YES
29.7,53.6,0.4,3.6,50.3,43.2,6.5,NO
67.6,61.4,2.7,6,64.9,31.4,3.7,YES
29,52,0.2,2.4,45.6,49.1,5.3,NO
29,52,0.2,2.4,45.6,49.1,5.3,NO
27,52.2,0.3,2.9,46.1,48.2,5.7,NO
24,51,0.3,2.7,44.7,49.3,6,NO
55.4,63.6,1,4.7,59.2,37.8,3,YES
34.3,58.4,0.6,4.4,47.7,47.7,4.6,NO
27.7,55.9,0.2,3.3,47.4,47.4,5.3,NO
57.4,67.5,1.9,8.3,49,48.6,2.4,YES
37.7,55.5,1.1,4.8,48.8,44,7.2,YES
27.2,52.8,0.4,4,44.4,47.3,8.3,NO
63.6,62,2.9,6.8,59.7,35.8,4.4,YES
38.3,54.5,1,3.9,56.8,37,6.3,YES
29.6,52.5,0.3,3.3,49.6,42.9,7.5,NO
63.7,60.4,2.9,5.7,77.6,19.6,2.8,YES
29.2,53.3,0.6,4.2,45.4,48.4,6.2,NO
25,51.1,0.4,3.8,43.9,49.5,6.6,NO
55.4,67.2,2.4,7.1,54.4,41.9,3.7,YES
51.7,58.9,2.2,5.7,55.1,39.4,5.5,YES
31.1,55.6,0.4,2.7,47,46.3,6.7,NO
68,61.6,3.6,8.1,61.4,34,4.6,YES
35.6,56,0.8,4.4,49.7,43.3,7.1,YES
29.8,55.3,0.4,4.2,47.1,45.6,7.3,NO
53.2,58,2,4.9,57.5,36.1,6.4,YES
36.6,56.7,0.5,3.9,47.5,44.7,7.8,NO
32.1,54.5,0.4,4.2,46.9,43.9,9.2,NO
51.5,64,0.9,3.1,49.3,47.5,3.2,YES
32.9,58,0.4,4.5,45.3,43.4,11.3,NO
29.2,57.1,0.3,4.7,45.5,41.6,12.9,NO
50.4,62,1,3.6,44.2,51.8,4,YES
33.7,52.6,0.9,5.9,43.4,46,10.6,YES
24.4,50.2,0.4,5.9,40,48.1,11.8,NO
64.5,60.6,2.6,5.9,54.7,38.9,6.4,YES
20.1,46.7,0.4,4.7,36.2,53.7,10.1,NO
20.1,46.7,0.4,4.7,36.2,53.7,10.1,NO
32.6,56.7,0.7,3.6,46.1,47.6,6.3,NO
25.6,54.8,0.4,3.3,43.9,49,7,NO
61.9,64.7,2.1,4.8,55.4,41.4,3.1,YES
40.8,50.1,1,3.5,53.6,40.2,6.2,YES
33.9,47.3,0.4,2.7,52.1,41,6.9,NO
72.4,63.2,3.5,7.2,60.4,36.5,3.1,YES
34.5,45.4,0.4,2.7,48,44.3,7.7,NO
32.6,44,0.3,2.6,46.9,45.1,8,NO
60.2,63,1.3,3.9,62.1,34.1,3.8,YES
32.7,42.9,0.5,3.3,52,40.8,7.1,NO
32.7,42.9,0.5,3.3,52,40.8,7.1,NO
55.9,56.2,2.3,5.5,56.6,38.8,4.6,YES
33.4,47.6,0.4,2.9,52.3,41.2,6.5,NO
75.3,63.7,4,7.8,60.2,36.7,3.1,YES
38.8,47.7,0.7,4,58.1,36.1,5.8,NO
38.8,47.7,0.7,4,58.1,36.1,5.8,NO
42,52.7,0.6,2.8,57.5,36.4,6.1,NO
38,51.1,0.4,2.5,56.4,37,6.7,NO
73.5,65.3,2.4,5,65.7,32.2,2.1,YES
34.2,49.8,0.4,1.3,52.2,40.6,7.3,NO
34.2,49.8,0.4,1.3,52.2,40.6,7.3,NO
35.7,48.2,0.8,3,52.7,40.6,6.6,YES
31.4,46.3,0.6,2.4,52,40.7,7.3,NO
55,56.9,2.2,5.8,55.9,40.3,3.8,YES
29.8,49.2,0.4,2.7,49.9,44.6,5.5,NO
29.8,49.2,0.4,2.7,49.9,44.6,5.5,NO
54.8,61.7,3.2,6.3,62.5,32.3,5.2,YES
38.8,56.3,0.5,3.2,52.3,39.7,8,NO
75.9,68.9,6.6,10.4,76,22.6,1.4,NO
43.7,56.8,0.6,3.5,54.8,38,7.2,NO
40.5,55.6,0.4,3.2,52.2,39.9,7.9,NO
69.6,66.9,2.2,6.5,75.5,22.3,2.2,YES
27.6,35.9,0.6,3.2,44.1,47.7,8.1,NO
27.6,35.9,0.6,3.2,44.1,47.7,8.1,NO
34.1,52.6,0.5,2.9,50.8,41,8.2,NO
29.6,49.2,0.3,2.6,48.5,42.3,9.2,NO
59.3,72,1.3,5.1,63.6,33.9,2.5,YES
37,59.1,0.6,3.8,55,38.8,6.2,NO
37,59.1,0.6,3.8,55,38.8,6.2,NO
72.5,67.4,6.6,10.4,75.1,23.2,1.8,NO
44.6,60.3,0.9,4.5,61.3,34,4.7,YES
78.5,68.9,7.8,11.7,78,20.8,1.1,NO
44.3,59.5,0.7,3.5,54.5,38.6,6.9,NO
42.4,59.1,0.6,3.3,56.3,36.3,7.4,NO
58.1,61.9,1,4.9,41.3,55.6,3.1,YES
41.9,61.6,0.7,2.9,51.5,37.8,10.7,NO
37.9,61.2,0.5,2.5,48.9,39.2,12,NO
69.6,64.2,2.4,5.3,69.8,28.1,2.1,YES
51.3,63.9,0.9,3.8,59,34.8,6.2,YES
44.7,60.6,0.6,3.3,53.3,38.6,8.1,NO
66,71.2,1.7,4.9,71.8,26.4,1.9,YES
44.5,59.3,0.7,3.5,52.8,40.2,7,NO
40.5,57.9,0.5,3.2,51,41.5,7.5,NO
67.4,67.4,1.9,5.4,63.5,32.4,4.1,YES
53.4,56.6,3.8,8,65.7,30,4.2,YES
37.3,50.5,0.9,3.9,59.9,34.5,5.6,YES
74,64.4,7.5,13.2,73.2,24.3,2.5,YES
7.6,15,0.3,2.1,44.1,47.6,8.3,NO
6.2,13.9,0.3,2,43.6,48,8.4,NO
53.4,49.6,2.3,5.6,58.7,36.4,5,YES
33.7,47.7,0.7,3,62.7,33.6,3.6,NO
33.7,47.7,0.7,3,62.7,33.6,3.6,NO
47.6,64,0.8,4.1,64.3,31.4,4.3,YES
47.6,64,0.8,4.1,64.3,31.4,4.3,YES
45.4,50.1,1.2,3.7,63.2,32,4.7,YES
41.3,48.7,0.8,3.3,60.9,34,5.1,YES
79.7,62.3,4.6,6.8,83.1,15.2,1.7,NO
41.2,50.2,1.3,6,55.4,38.8,5.8,YES
40,49.6,0.7,3.5,60.4,34.2,5.4,NO
42.2,50.6,1.8,7.9,51.6,42.3,6.1,YES
48.9,57.8,1.7,4.7,62.7,32.3,5.1,YES
32.1,53.4,0.6,3.1,57.2,35.9,6.9,NO
79,65.6,3.8,7.5,72.5,25.7,1.8,NO
39.9,61.1,1.1,3.9,59.8,34.2,6,YES
37.3,61,0.8,3.3,58.4,35.6,6,YES
62.3,62.7,3.3,9.5,72,21.7,6.3,YES
39.3,52,1.3,3.7,61.9,33.8,4.3,YES
39.3,52,1.3,3.7,61.9,33.8,4.3,YES
9.2,21.8,0.5,3.5,51.4,41.3,7.3,NO
9.2,21.8,0.5,3.5,51.4,41.3,7.3,NO
17,26.9,1,5.8,49.2,42.3,8.4,YES
12.3,24.2,0.7,5.5,48.3,42.8,8.9,NO
76.7,61.2,4.7,10.1,61.4,36.1,2.5,YES
80.1,66.7,9.2,14.6,78.3,20.1,1.6,NO
50.5,53.9,1.4,4.4,69.1,28.1,2.8,YES
82.9,67.8,9.9,15.6,79.2,19.4,1.5,NO
39.3,51.6,1.7,5.4,63.7,32,4.3,YES
28.8,46.1,1,4.1,59.5,35.5,5,YES
73.8,69.8,3.8,9.5,77.6,20.5,1.9,YES
49.3,63.7,1.9,6,64.7,30.4,4.9,YES
41.9,61.4,1.4,5.1,63,31.2,5.8,YES
78.1,72.6,3.6,9.8,71.1,27.3,1.5,NO
59.8,64.1,2.5,7.1,67.9,28,4.1,YES
56.7,63.7,1.5,5.8,66.3,29.2,4.5,YES
75.2,66,7.4,13.7,75.8,21.8,2.3,YES
45.8,63,1.1,4.1,60.5,31.9,7.6,YES
39.8,61.6,0.6,2.9,56.8,34.4,8.8,NO
73.4,69.2,3.1,9.4,77.7,20.2,2.1,YES
71.6,61.1,10.5,12.2,72.9,25,2.1,YES
37.9,36.8,1.8,5.2,57.4,36.8,5.8,YES
81,67.8,12.9,14.1,77.2,21.7,1.1,NO
18.4,29.2,0.6,5.1,46.8,49.1,4.1,NO
18.4,29.2,0.6,5.1,46.8,49.1,4.1,NO
29.2,26.4,1.9,5.4,52.2,42.4,5.4,YES
21.2,21.5,0.8,4,47.6,46.4,6.1,YES
69,50.5,7.2,12.4,75.2,22.5,2.3,YES
16.6,19,0.4,3.1,46,47.1,6.9,NO
14.7,17.2,0.3,3,45,47.8,7.2,NO
57.5,57.4,3.4,6.5,66.5,32.3,1.2,NO
18,19.7,1.1,5.5,49,42.9,8.1,YES
12.8,15.5,0.9,4.7,46.6,44.8,8.6,NO
71.1,62.4,3.3,14,73.4,23.1,3.5,YES
9.3,18,0.4,3.7,35,53.8,11.2,NO
9.3,18,0.4,3.7,35,53.8,11.2,NO
34.8,32.6,1.2,5,52.8,38.4,8.8,YES
28.8,28.4,0.7,4,49.1,41,9.9,NO
74,60.5,4.2,11.5,76.8,21.5,1.6,NO
55.6,43.1,3.7,7.8,66.4,29.9,3.7,YES
44.3,29,1.8,5.1,62.3,32.6,5,YES
70.4,61.4,6.3,11.4,71.8,26.2,2,YES
78,67,8.3,12.9,78.1,21,0.9,NO
60.5,46.3,2.6,7.1,74.3,22.1,3.5,YES
79.4,68.6,8.8,13.4,78.4,20.9,0.7,NO
85.2,68.9,17.7,14.8,80,19,1,NO
68.8,73.8,0.9,3.8,79.1,19.8,1.1,NO
85.2,68.9,17.8,14.8,80,19,1,NO
52.3,63.9,2.1,6.6,58.6,38.7,2.6,YES
52.8,59.4,1.2,4.8,62.8,32.6,4.6,YES
52.1,65.3,2.4,7.3,57.3,40.8,2,YES
39.9,37.6,1.5,5.7,59,34.7,6.3,YES
29.8,28.5,0.8,3.8,52.9,39.6,7.5,YES
72.7,66.9,3.9,11.8,79,18.6,2.4,YES
85.4,68.1,13.3,16,79.7,19.2,1.1,NO
71.1,70.3,7.4,10.5,73.4,24.8,1.8,NO
88.5,67.6,14.6,17.2,81.1,18,0.9,NO
81.8,65.7,7.4,11.7,69.4,29.3,1.4,NO
81.8,65.7,7.4,11.7,69.4,29.3,1.4,NO
78.9,67.6,7.7,14.3,81.4,17.2,1.4,NO
61.9,62.5,1.9,5,76.2,21.4,2.3,YES
83.3,69,9.2,16.7,82.8,16.1,1.1,NO
31.4,31,0.7,4.8,56.6,35.1,8.2,NO
26.5,26.5,0.5,4.2,55.2,36,8.9,NO
72.9,69.4,2.4,9.6,69.2,28.1,2.8,YES
85.1,63.6,20,12.2,71.5,27.1,1.4,NO
85.1,63.6,20,12.2,71.5,27.1,1.4,NO
85.1,63.6,20,12.2,71.5,27.1,1.4,NO
85.1,63.6,20,12.2,71.5,27.1,1.4,NO
85.3,61.2,19,13,72.2,26.2,1.5,NO
85.3,61.2,19,13,72.2,26.2,1.5,NO
85.3,61.2,19,13,72.2,26.2,1.5,NO
85.3,61.2,19,13,72.2,26.2,1.5,NO
62.7,47.1,6.5,9.7,73,24.4,2.6,YES
50.7,36.3,1.8,5.8,68.1,28.3,3.6,YES
83.2,65.5,14.4,16.3,81.3,17.7,1.1,NO
75.4,64.3,5.2,10.6,74.8,23.6,1.6,NO
71.2,60.8,3.2,8.6,76.6,21.5,1.9,YES
81.1,69,7.8,13.4,72.3,26.5,1.2,NO
80.4,70.2,14.7,15,81.1,17.7,1.2,NO
68.3,65.2,2.4,6.6,74.7,23.2,2.1,YES
86.2,72.6,20.6,18.9,84.1,15.2,0.8,NO
54.3,40.2,2.9,6.5,67.2,28.6,4.2,YES
44.6,32.6,1.1,4.5,62.8,32.2,5,YES
81.5,61.6,8,12.2,79.6,18.5,1.9,YES
67.7,52.8,4.9,9.7,69.7,27.3,3,YES
54.6,43.7,2.3,5.1,66.4,29.5,4.1,YES
82.6,63.2,7.8,14.9,73.5,24.7,1.8,NO
60.3,32.1,3.7,7.5,72.8,24.3,2.9,YES
52.7,26.4,1.4,5.4,69.4,27.1,3.5,YES
83.9,49.8,10.9,14.2,83.5,15.6,0.9,NO
66.5,29.4,4.1,8.2,75.7,21.6,2.6,YES
62.3,25.5,2.3,6.6,74.1,22.9,3.1,YES
86.1,47.6,12.6,15.8,83.4,15.9,0.7,NO
50.2,30.1,2.2,8.3,65.6,31.1,3.3,YES
46.3,28.1,2,7.5,63.3,32.9,3.9,YES
70,40.2,3.3,12.7,77.3,22.3,0.4,NO
55,37.7,3,7.9,69.3,27.8,2.9,YES
45.5,30,1.9,6.2,65.5,31,3.5,YES
79.5,57.7,5.9,12.3,79.3,19.5,1.2,NO
38.6,27.5,1.5,5.9,60.2,34,5.9,YES
33,22.8,0.8,5.4,56.9,36.7,6.4,YES
73.8,56.9,6,9.1,80.5,16.9,2.6,YES
45.2,33.1,2.9,7.5,65.3,30.4,4.3,YES
41.1,30.8,2.5,6.3,63.1,32.3,4.6,YES
78.9,52.6,6.2,17.5,83.5,14.9,1.6,NO
30.4,19.6,1.1,3.1,59,35.4,5.7,YES
30.4,19.6,1.1,3.1,59,35.4,5.7,YES
45.6,30.6,1.6,5.7,69.8,28,2.2,YES
40.6,26.1,1.1,5.1,69,28.6,2.4,YES
60.2,43.5,3,7.2,72,26.4,1.5,NO
33.3,33.9,0.9,3.8,66.5,30.9,2.6,YES
27.7,29.9,0.7,3.3,64.4,32.9,2.7,NO
68.2,58.8,2.5,6.3,79.6,18.2,2.1,YES
50.9,40.2,2.7,8.2,72,24.9,3,YES
42,34.4,1,5.9,68.2,28.1,3.7,YES
80.8,59.7,8.4,16.3,84.8,14.3,0.9,NO
36.6,23.3,1,1.9,65.7,30.2,4,YES
32.1,19.1,0.8,1.5,63.1,32.7,4.2,NO
70.4,54.4,2.1,5.3,85.3,12.1,2.6,NO
74.9,69.9,11.3,12.3,75.4,22,2.6,YES
57.9,69.3,2,5.9,71.1,23.9,4.9,YES
84.4,70.2,16.5,15.9,77.8,20.9,1.3,NO
54,65.1,1.9,6.1,67.9,27,5.1,YES
52.5,64.5,1.8,5.7,67.7,27,5.3,YES
74.4,73.4,3.9,11.5,70.6,26.6,2.8,YES
51.9,63.1,1.1,4.5,69.5,25.1,5.4,YES
49.8,62,0.9,4.1,68.2,26.2,5.6,YES
75.3,76.5,2.9,9.7,84.3,12.6,3.1,YES
59.9,77,1.3,5.2,74.8,20.4,4.8,YES
56.5,76.7,1.1,4.4,74.9,19.6,5.5,YES
75.5,78.7,2.5,8.8,74.6,23.9,1.5,NO
58.2,70.2,1.6,6,73.4,23.2,3.5,YES
51.6,64.7,0.9,4.6,67.9,27.6,4.5,YES
72.3,82.2,3.3,8.9,85.1,13.7,1.3,NO
71.4,73.3,4.5,8.9,73.2,23.6,3.1,YES
60.6,70.3,1.2,4.7,68.7,26.7,4.5,YES
84.7,77,8.5,14.2,78.8,19.8,1.4,NO
64,76.3,2.4,6.8,70.8,25,4.1,YES
62.5,74.6,2.4,6.3,68.9,26.5,4.6,YES
71.4,84.7,2.5,9.2,80.3,17.8,2,YES
79.6,78.1,9.6,15,80.6,18.1,1.2,NO
78.3,77.9,5,10.7,79.7,18.6,1.8,NO
80,78.1,10.9,16.2,80.9,18,1.1,NO
87.9,64.7,21.6,16.5,75.8,22.9,1.3,NO
78.7,80.4,9.1,15.2,73.5,26.1,0.4,NO
88,64.6,21.7,16.5,75.8,22.9,1.3,NO
59.4,73.3,1.7,5.5,70.8,24.3,4.9,YES
55.2,73.2,1.1,4.5,71,23.5,5.5,YES
82,73.6,4.8,10.9,69.9,28.2,1.9,YES
64.8,71.2,2,5.5,74.8,21.9,3.3,YES
60.1,69.8,1,3.5,73.1,23.1,3.8,YES
79.3,75.3,5,11.6,80.1,18.2,1.8,NO
40.5,51.2,0.7,5.2,44.2,47.8,8,NO
40.5,51.2,0.7,5.2,44.2,47.8,8,NO
56.4,63.3,1.4,5.4,71.2,25.8,3,YES
53.7,62.2,1.1,4.8,70.8,26.1,3.2,YES
79.5,72.2,3.6,10.4,74.5,23.7,1.8,NO
60.5,66.8,3.1,6.8,74.6,20.3,5.1,YES
56.4,67,2,5,72.8,21.3,5.9,YES
79.9,66.1,8.3,15.5,82.9,15.5,1.6,NO
45,63.4,1.5,5,66.3,24.5,9.2,YES
43,62.7,1.3,4.7,65.4,24.9,9.7,YES
72.5,73.4,3.7,8.5,78.7,19.4,1.9,YES
52.6,59.9,2,5.6,64.5,29.1,6.4,YES
45.6,58.6,1.1,4.3,62,30.6,7.4,YES
79.7,65.1,5.9,10.5,74.4,23.1,2.5,YES
34.1,52.6,0.8,4.3,56.9,37.2,6,YES
32.9,52.2,0.7,4.2,56,37.9,6.1,NO
69.5,63,1.6,7.6,83,15.2,1.8,NO
54.5,65.5,2,5.2,66.6,27.8,5.6,YES
48.4,64.5,0.8,3.6,62.8,30.6,6.6,YES
81.6,70,7.3,12.7,83.4,15.6,1,NO
54.7,57.6,2,5.1,58.2,34.2,7.6,YES
49.3,57,1.2,4,57.1,34.1,8.9,YES
73.9,59.4,5,8.9,62.3,34.8,3,YES
64,62.2,2.5,6.1,63.7,30.1,6.2,YES
61.8,60.5,2.2,5.8,64,29.4,6.5,YES
73.9,69.5,3.6,7.1,62.2,33,4.8,YES
62.1,53.4,2.3,4.9,58.2,35.7,6.1,YES
54.7,50.7,1.3,3.7,55.8,37.2,7,YES
78.3,59.6,4.5,7.5,63.4,32.4,4.2,YES
47.7,59,1,4.7,59.1,32.1,8.8,YES
47.7,59,1,4.7,59.1,32.1,8.8,YES
42.8,60.3,0.8,4.5,57.2,33.2,9.6,YES
42.8,60.3,0.8,4.5,57.2,33.2,9.6,YES
39.1,61.4,1.3,5.1,59.2,31.6,9.2,YES
35.2,60.8,1.1,4.8,57.6,32.6,9.8,YES
74.2,65.9,3.4,8.2,73.9,22.5,3.5,YES
73.4,61.4,5.3,10.1,75.8,21.4,2.8,YES
52.7,53.5,1.6,5.4,71.4,23.6,5,YES
85.2,65.9,7.4,12.7,78.3,20.2,1.5,NO
57.5,59.2,1.3,4.6,64.8,28.8,6.4,YES
53.9,58.2,0.9,4,63.4,29.8,6.9,YES
71.2,62.9,2.8,6.8,70,25.3,4.7,YES
47.1,61.9,1,4.3,72.2,21.9,6,YES
47.1,61.9,1,4.3,72.2,21.9,6,YES
46.4,63,1.2,4.4,67.5,25.5,7,YES
44,62.5,0.9,4,67.1,25.6,7.2,YES
68.5,67.6,4,7.8,70.7,24,5.3,YES
33.7,59.7,1,4.7,63.6,28.9,7.6,YES
32,59.8,0.8,4.3,62.6,29.6,7.7,YES
65.4,57.9,4.9,11.3,80.8,14.4,4.7,YES
35.1,53.9,0.6,3.6,62.2,31.4,6.5,NO
26.7,51.2,0.3,2.9,57.3,35.2,7.5,NO
66.4,63.7,2,6.1,80.2,17.2,2.7,YES
37.7,56.2,1,4.3,53.8,39.2,7.1,YES
31.3,54.6,0.5,3.7,51,41,8,NO
66.4,63.3,3.3,7.2,66.3,30.8,2.9,YES
33.8,56.1,0.6,3.1,58.2,34,7.8,NO
32.3,55.6,0.6,3.1,57.9,34.1,8,NO
63.5,66.5,1.8,2.6,65,31.3,3.7,YES
29.5,57.4,0.7,4.4,55,38.3,6.7,NO
29.5,57.4,0.7,4.4,55,38.3,6.7,NO
28.8,57.7,0.4,3.3,52.2,39.7,8.1,NO
28.8,57.7,0.4,3.3,52.2,39.7,8.1,NO
37,58.5,0.9,2.8,54.3,38.5,7.2,YES
34.3,58.1,0.6,2.6,53,39.3,7.7,NO
63.9,62.8,3.1,4.8,66.3,31.2,2.5,YES
32.8,53,0.8,3.9,50.9,42.7,6.4,YES
27.3,50.9,0.5,3.5,48.7,44.3,7,NO
60.7,63.4,2.6,5.9,62,34.9,3,YES
26,53,0.4,6.2,48.7,42.9,8.4,NO
26,53,0.4,6.2,48.7,42.9,8.4,NO
45.3,56.8,1.8,5.9,58.8,35.6,5.5,YES
29.9,52.9,0.5,4.3,51.8,40.5,7.7,NO
70.5,63,3.9,8.5,70.4,27.6,2,YES
28.6,51.9,0.6,4.3,48.8,42.4,8.8,NO
25.5,51.2,0.5,3.9,47.5,43.2,9.3,NO
52.8,56.9,2,6.8,59.1,36.4,4.4,YES
26.4,53.5,0.4,3.7,45,46.8,8.2,NO
21.2,51.4,0.3,3.7,42.5,48.5,9,NO
56.2,65.5,1.1,3.8,59.4,37.2,3.4,YES
48.1,58.1,1.3,5,52.5,39.6,7.9,YES
40.5,55.3,0.6,4.5,49.7,40.9,9.4,NO
65.5,64.5,2.9,6.1,58.9,36.5,4.6,YES
48.1,58.4,1.5,4.5,54.3,39.8,5.9,YES
40.4,56.3,0.7,2.9,48.1,44.8,7,NO
69.8,64.5,3.8,8.9,71.7,25.7,2.7,YES
40.2,54.4,1.3,5,57.2,37.8,4.9,YES
31.8,50.7,0.6,4,54.2,40.1,5.7,NO
66.6,65.9,3.6,8.1,66.9,30.6,2.6,YES
60.6,62.4,2.9,7,64.8,32,3.2,YES
45.6,55.3,0.9,4.2,56.9,38.3,4.8,YES
71.8,67.8,4.4,9.1,70.8,27.3,1.9,YES
39.9,50.8,0.8,4.3,49.2,43.1,7.7,YES
39.9,50.8,0.8,4.3,49.2,43.1,7.7,YES
35.5,55,0.8,5.5,49.3,42.6,8.1,YES
30.6,53.3,0.5,5.1,48.1,43.3,8.6,NO
60.3,63.6,2.7,7.2,55.2,39.2,5.5,YES
22,47.7,0.5,2.5,47.1,45.8,7.1,NO
22,47.7,0.5,2.5,47.1,45.8,7.1,NO
32.1,51.1,0.6,4.2,48.4,45.5,6.1,NO
32.1,51.1,0.6,4.2,48.4,45.5,6.1,NO
29.7,52.1,0.7,2.8,58.2,36,5.8,NO
29.7,52.1,0.7,2.8,58.2,36,5.8,NO
29.5,45.6,0.5,3.7,66.5,31,2.5,NO
26.8,44,0.4,3.6,67.8,29.7,2.5,NO
52.9,59.3,1.3,4.7,54.5,42.8,2.7,YES
30.1,54.6,0.6,3.3,55.2,39.7,5.1,NO
27.5,53.7,0.4,3,53.9,40.9,5.2,NO
53.4,62.6,1.9,5.6,66.5,29,4.5,YES
26.3,48.8,0.4,4.9,45.9,46.9,7.1,NO
26.3,48.8,0.4,4.9,45.9,46.9,7.1,NO
38.6,53.3,1.2,5.4,54.1,40.6,5.3,YES
28.6,48.3,0.6,4.7,50.7,42.9,6.4,NO
58.1,63,2.4,6.7,60.7,36.1,3.2,YES
33.8,49.2,0.9,4.3,57.2,37.2,5.6,YES
28.1,46.8,0.5,3.8,55.6,38.2,6.2,NO
64.5,62.1,3,7.2,65.6,31.6,2.8,YES
24.7,55.3,0.6,4.8,56.7,35.7,7.6,NO
21.2,54,0.5,4,56,35.7,8.3,NO
49.6,64.7,1.5,10.4,61.6,35.8,2.5,YES
29.3,53.2,0.8,3.4,55.4,37.1,7.4,YES
25,51.7,0.6,3.1,54.3,37.6,8.1,NO
57.4,62.9,2.2,5.8,63,34.2,2.8,YES
30,47.3,0.5,3.7,48.9,43.1,8,NO
30,47.3,0.5,3.7,48.9,43.1,8,NO
37.4,53.2,0.6,3.4,55.2,37.5,7.2,NO
34.2,52.2,0.4,3.3,54.4,37.9,7.7,NO
63.7,61.5,1.7,4.7,61.6,34.7,3.7,YES
42.3,50.3,1.5,4.9,60.2,35.4,4.5,YES
32.2,45.3,0.5,3.4,55.1,39.4,5.5,NO
71.6,64.8,4.3,9,74.9,23.6,1.5,NO
30.7,45.5,1,4.7,51.7,42.5,5.8,YES
24,42.3,0.6,4.5,50.6,43,6.4,NO
62.7,60.6,2.5,5.4,57.2,40.1,2.7,YES
25.4,40.2,0.7,4.7,71.4,26.3,2.3,NO
25.4,40.2,0.7,4.7,71.4,26.3,2.3,NO
33.5,47.4,0.8,4,57.4,38,4.6,YES
27.7,45.3,0.5,3.7,57,38.5,4.5,NO
59.6,56.8,2.3,5.7,58.9,36,5.1,YES
43.8,58.3,1.8,5.1,64.1,30,5.9,YES
31.1,56.9,0.7,3.5,62.6,29.6,7.8,NO
70.7,61.3,4.1,8.5,67.3,30.8,1.9,YES
33.6,62.7,0.6,3.1,65.1,27.7,7.2,NO
29.6,61.8,0.4,2.9,64.3,27.9,7.7,NO
76.2,72.1,2.2,5.4,73,25.4,1.6,NO
38.5,65.1,1,3.6,66.9,25.4,7.7,YES
35.7,64.7,0.8,3.4,66.4,25.5,8,YES
75.4,70.9,3.1,6.8,73.1,23.8,3.1,YES
46.4,54,1.4,5.3,66.1,29.4,4.5,YES
34.4,51.2,0.7,3.9,65.8,28.6,5.6,NO
73.2,60.1,3.1,8.5,66.7,31.2,2.1,YES
68.1,60.4,4.2,8.5,66.1,31.9,2,YES
37.2,54.4,0.7,3.4,59.2,35.4,5.3,NO
71.5,61,4.6,9.1,66.9,31.5,1.6,NO
32.3,57.9,0.6,3.1,65.2,27.8,7,NO
32.3,57.9,0.6,3.1,65.2,27.8,7,NO
43.7,63.2,1.6,5,64,30.3,5.7,YES
33.9,63.5,0.8,3.6,63.7,29.3,7,YES
75.9,62.4,4.2,9.8,64.8,33.4,1.7,NO
41.5,61.2,1.2,3.9,65.2,27.1,7.7,YES
37.4,61.2,0.9,3.6,63.9,27.7,8.4,YES
68.2,61.5,3.3,5.9,73.5,23.4,3.1,YES
24.8,52.9,0.9,5.1,63.2,26,10.8,YES
20.6,51.4,0.6,4.6,61.5,27,11.5,NO
61.1,65.5,3.4,9.7,77.3,17.8,4.9,YES
26.5,54,0.7,3.3,58.9,31.4,9.7,NO
22.1,53.2,0.5,3.2,57.6,32,10.4,NO
63.4,61.2,1.7,4.3,69.3,26.6,4.1,YES
32,50.3,0.5,3.2,61,33.3,5.7,NO
32,50.3,0.5,3.2,61,33.3,5.7,NO
28.3,49.9,0.7,3.8,55.8,38,6.2,NO
22.3,48.2,0.5,3.7,54.1,38.6,7.4,NO
51.2,56.4,1.5,4.1,62.4,35.6,1.9,YES
